ID,DRIVING_EXPERIENCE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS
569520,0-9y,0,0,0
750365,0-9y,0,0,0
199901,0-9y,0,0,0
478866,0-9y,0,0,0
731664,10-19y,2,0,1
877557,20-29y,3,0,3
930134,30y+,7,0,3
461006,0-9y,0,0,0
68366,20-29y,0,0,0
445911,0-9y,0,0,0
275820,30y+,6,2,7
521399,30y+,4,0,0
429728,20-29y,4,1,2
980181,10-19y,0,2,1
240658,0-9y,0,0,0
484399,0-9y,0,0,0
912828,0-9y,0,0,0
892754,20-29y,3,1,1
633896,30y+,13,2,3
193110,10-19y,0,0,0
98515,10-19y,1,1,0
165623,10-19y,0,0,1
493590,10-19y,0,0,1
389792,0-9y,0,0,0
642614,20-29y,2,0,1
951465,30y+,3,1,1
496987,0-9y,0,0,0
732437,0-9y,0,0,0
146897,0-9y,0,0,0
316173,0-9y,0,0,0
9013,10-19y,3,0,2
485660,10-19y,1,0,1
80496,30y+,5,1,3
478336,20-29y,4,0,2
10843,20-29y,10,2,0
397446,0-9y,0,0,0
101678,10-19y,1,0,0
231661,20-29y,3,0,4
173782,20-29y,7,0,5
98839,10-19y,1,0,0
105372,10-19y,1,0,0
888828,20-29y,3,0,2
37454,0-9y,0,0,0
370044,20-29y,9,0,1
768282,0-9y,0,0,0
738729,0-9y,0,0,0
329536,0-9y,0,0,0
328531,20-29y,2,0,1
131881,10-19y,0,1,0
839572,20-29y,3,0,1
589757,20-29y,2,0,0
336859,0-9y,0,0,0
367026,10-19y,0,0,0
334687,0-9y,0,0,0
623367,20-29y,4,1,4
688440,10-19y,2,0,0
547974,20-29y,2,1,7
989064,0-9y,0,0,0
675898,0-9y,0,0,0
480452,0-9y,0,0,0
93199,0-9y,0,0,0
125802,20-29y,0,0,1
616663,0-9y,0,0,0
423497,0-9y,0,0,0
492837,10-19y,0,0,0
422563,20-29y,2,0,1
185231,0-9y,0,0,0
949152,10-19y,0,0,0
859453,10-19y,1,0,2
466578,10-19y,0,0,0
998214,0-9y,0,0,0
828462,20-29y,0,0,6
511837,10-19y,3,1,1
554995,0-9y,0,0,0
680717,30y+,6,1,3
978021,20-29y,4,0,6
6676,20-29y,3,0,2
362280,10-19y,0,0,0
883018,0-9y,0,0,0
889355,10-19y,2,0,0
198273,20-29y,8,0,2
197763,20-29y,1,0,2
545941,20-29y,1,0,2
320444,0-9y,0,0,0
305793,0-9y,0,0,0
362190,0-9y,0,0,0
62647,10-19y,2,0,1
296948,10-19y,0,0,0
673660,30y+,4,1,3
945867,0-9y,0,0,0
241973,30y+,2,0,2
429503,0-9y,0,0,0
810013,0-9y,0,0,0
663458,0-9y,0,0,0
879976,0-9y,0,0,0
418841,0-9y,0,0,0
542236,10-19y,3,0,0
937573,10-19y,5,0,1
670850,0-9y,0,0,0
151252,0-9y,0,0,0
706349,10-19y,1,1,2
602998,20-29y,3,1,7
242772,10-19y,1,2,0
380740,30y+,2,0,3
727943,0-9y,0,0,0
261229,0-9y,0,0,0
60866,20-29y,3,0,2
752797,20-29y,1,1,0
45002,30y+,4,1,2
482448,0-9y,0,0,0
549142,0-9y,0,0,0
95138,20-29y,4,1,4
615991,20-29y,2,0,1
807847,20-29y,3,1,4
758983,20-29y,6,0,3
987114,0-9y,0,0,0
873457,20-29y,7,1,1
699703,0-9y,0,0,0
563342,0-9y,0,0,0
284106,30y+,5,1,5
78189,0-9y,0,0,0
427520,10-19y,0,1,0
689030,20-29y,1,0,1
