ID,VEHICLE_OWNERSHIP,VEHICLE_YEAR,VEHICLE_TYPE,ANNUAL_MILEAGE
569520,1.0,after 2015,sedan,12000.0
750365,0.0,before 2015,sedan,16000.0
199901,1.0,before 2015,sedan,11000.0
478866,1.0,before 2015,sedan,11000.0
731664,1.0,before 2015,sedan,12000.0
877557,1.0,after 2015,sedan,13000.0
930134,0.0,after 2015,sedan,13000.0
461006,0.0,after 2015,sedan,14000.0
68366,0.0,before 2015,sedan,13000.0
445911,1.0,before 2015,sedan,11000.0
275820,1.0,after 2015,sedan,10000.0
521399,1.0,after 2015,sedan,12000.0
429728,1.0,before 2015,sedan,8000.0
980181,1.0,before 2015,sedan,12000.0
240658,1.0,before 2015,sedan,18000.0
484399,0.0,before 2015,sedan,17000.0
912828,1.0,after 2015,sedan,8000.0
892754,1.0,before 2015,sedan,13000.0
633896,1.0,before 2015,sedan,7000.0
193110,1.0,before 2015,sports car,14000.0
98515,1.0,before 2015,sedan,13000.0
165623,1.0,before 2015,sedan,15000.0
493590,0.0,after 2015,sedan,17000.0
389792,1.0,after 2015,sedan,9000.0
642614,1.0,after 2015,sedan,7000.0
951465,1.0,before 2015,sedan,10000.0
496987,1.0,before 2015,sedan,9000.0
732437,1.0,before 2015,sedan,10000.0
146897,1.0,before 2015,sedan,11000.0
316173,0.0,after 2015,sedan,8000.0
9013,1.0,before 2015,sedan,17000.0
485660,1.0,before 2015,sedan,14000.0
80496,1.0,before 2015,sedan,10000.0
478336,1.0,after 2015,sedan,16000.0
10843,0.0,after 2015,sedan,9000.0
397446,0.0,before 2015,sedan,16000.0
101678,0.0,before 2015,sedan,13000.0
231661,0.0,before 2015,sports car,14000.0
173782,1.0,after 2015,sedan,7000.0
98839,1.0,before 2015,sedan,12000.0
105372,0.0,before 2015,sedan,14000.0
888828,1.0,before 2015,sedan,14000.0
37454,0.0,before 2015,sedan,17000.0
370044,0.0,after 2015,sedan,7000.0
768282,0.0,before 2015,sedan,8000.0
738729,1.0,before 2015,sedan,7000.0
329536,0.0,before 2015,sedan,9000.0
328531,0.0,after 2015,sedan,12000.0
131881,1.0,before 2015,sedan,16000.0
839572,0.0,before 2015,sedan,12000.0
589757,1.0,before 2015,sedan,7000.0
336859,1.0,before 2015,sedan,15000.0
367026,1.0,before 2015,sedan,11000.0
334687,1.0,before 2015,sedan,15000.0
623367,1.0,before 2015,sedan,5000.0
688440,1.0,before 2015,sedan,10000.0
547974,0.0,before 2015,sedan,12000.0
989064,0.0,after 2015,sedan,12000.0
675898,1.0,before 2015,sedan,16000.0
480452,1.0,before 2015,sedan,12000.0
93199,1.0,after 2015,sedan,14000.0
125802,1.0,before 2015,sedan,10000.0
616663,1.0,after 2015,sedan,16000.0
423497,1.0,before 2015,sedan,16000.0
492837,1.0,after 2015,sedan,14000.0
422563,0.0,before 2015,sedan,14000.0
185231,1.0,before 2015,sedan,11000.0
949152,0.0,after 2015,sedan,9000.0
859453,1.0,before 2015,sedan,13000.0
466578,1.0,after 2015,sedan,14000.0
998214,0.0,before 2015,sedan,14000.0
828462,0.0,before 2015,sedan,16000.0
511837,1.0,before 2015,sedan,9000.0
554995,1.0,before 2015,sports car,12000.0
680717,1.0,before 2015,sedan,14000.0
978021,1.0,after 2015,sedan,7000.0
6676,0.0,before 2015,sedan,15000.0
362280,0.0,before 2015,sedan,13000.0
883018,1.0,before 2015,sedan,13000.0
889355,1.0,before 2015,sedan,15000.0
198273,1.0,after 2015,sedan,9000.0
197763,0.0,after 2015,sedan,14000.0
545941,1.0,after 2015,sedan,11000.0
320444,0.0,before 2015,sedan,14000.0
305793,0.0,before 2015,sedan,11000.0
362190,0.0,before 2015,sedan,14000.0
62647,1.0,before 2015,sedan,13000.0
296948,1.0,after 2015,sedan,14000.0
673660,0.0,after 2015,sedan,10000.0
945867,1.0,before 2015,sedan,13000.0
241973,1.0,before 2015,sedan,11000.0
429503,0.0,before 2015,sedan,15000.0
810013,1.0,after 2015,sports car,14000.0
663458,0.0,before 2015,sedan,15000.0
879976,0.0,before 2015,sedan,10000.0
418841,1.0,before 2015,sedan,9000.0
542236,1.0,before 2015,sedan,12000.0
937573,1.0,before 2015,sedan,7000.0
670850,1.0,before 2015,sedan,17000.0
151252,1.0,before 2015,sedan,11000.0
706349,1.0,before 2015,sedan,10000.0
602998,1.0,before 2015,sedan,14000.0
242772,1.0,before 2015,sedan,10000.0
380740,1.0,after 2015,sedan,7000.0
727943,1.0,before 2015,sedan,11000.0
261229,1.0,after 2015,sedan,9000.0
60866,0.0,after 2015,sedan,13000.0
752797,1.0,before 2015,sedan,15000.0
45002,1.0,before 2015,sedan,9000.0
482448,0.0,before 2015,sedan,8000.0
549142,1.0,before 2015,sedan,12000.0
95138,0.0,after 2015,sedan,14000.0
615991,1.0,after 2015,sedan,11000.0
807847,1.0,after 2015,sedan,14000.0
758983,1.0,after 2015,sedan,12000.0
987114,0.0,before 2015,sedan,16000.0
873457,1.0,before 2015,sedan,13000.0
699703,0.0,before 2015,sedan,10000.0
563342,1.0,before 2015,sedan,13000.0
284106,1.0,before 2015,sedan,12000.0
78189,1.0,before 2015,sedan,12000.0
427520,0.0,before 2015,sedan,16000.0
689030,1.0,after 2015,sedan,13000.0
966467,1.0,before 2015,sedan,13000.0
288712,1.0,after 2015,sedan,12000.0
228114,1.0,before 2015,sedan,10000.0
63715,1.0,before 2015,sedan,13000.0
624077,1.0,before 2015,sports car,8000.0
726352,0.0,before 2015,sedan,16000.0
792396,1.0,before 2015,sedan,12000.0
768933,1.0,before 2015,sedan,16000.0
579336,1.0,after 2015,sedan,10000.0
648922,1.0,before 2015,sedan,13000.0
47909,1.0,before 2015,sedan,10000.0
619577,1.0,after 2015,sedan,11000.0
212678,1.0,after 2015,sedan,13000.0
995884,1.0,after 2015,sedan,11000.0
226326,1.0,after 2015,sedan,13000.0
943922,0.0,after 2015,sedan,6000.0
510116,1.0,after 2015,sedan,12000.0
536546,1.0,before 2015,sedan,12000.0
75592,1.0,before 2015,sedan,11000.0
936820,1.0,before 2015,sedan,12000.0
634050,1.0,after 2015,sedan,9000.0
